platform,globalsale,year,id
DC,0,2010,DC-2010
DC,0,2011,DC-2011
DC,0,2012,DC-2012
DC,0,2013,DC-2013
DC,0,2014,DC-2014
DC,0,2015,DC-2015
DC,0,2016,DC-2016
DC,0,2017,DC-2017
DC,0,2018,DC-2018
DC,0,2019,DC-2019
DC,0,2020,DC-2020
PSV,14.74,2014,PSV-2014
PSV,7.1,2015,PSV-2015
PSV,3.4,2016,PSV-2016
PSV,0.02,2017,PSV-2017
PSV,0,2018,PSV-2018
PSV,0,2019,PSV-2019
PSV,0,2020,PSV-2020
PC,3.02,1992,PC-1992
PC,0,1993,PC-1993
X360,8.32,2005,X360-2005
PSP,7.13,2004,PSP-2004
SAT,11.58,1995,SAT-1995
SAT,7.69,1996,SAT-1996
SAT,6.77,1997,SAT-1997
SAT,3.82,1998,SAT-1998
SAT,0.09,1999,SAT-1999
SAT,0,2000,SAT-2000
SAT,0,2001,SAT-2001
SAT,0,2002,SAT-2002
SAT,0,2003,SAT-2003
SAT,0,2004,SAT-2004
SAT,0,2005,SAT-2005
SAT,0,2006,SAT-2006
SAT,0,2007,SAT-2007
SAT,0,2008,SAT-2008
SAT,0,2009,SAT-2009
SAT,0,2010,SAT-2010
SAT,0,2011,SAT-2011
SAT,0,2012,SAT-2012
SAT,0,2013,SAT-2013
SAT,0,2014,SAT-2014
SAT,0,2015,SAT-2015
SAT,0,2016,SAT-2016
SAT,0,2017,SAT-2017
SAT,0,2018,SAT-2018
SAT,0,2019,SAT-2019
SAT,0,2020,SAT-2020
PSV,5.15,2011,PSV-2011
PSV,18.53,2012,PSV-2012
PSV,12.69,2013,PSV-2013
SCD,1.5,1993,SCD-1993
SCD,0.37,1994,SCD-1994
SCD,0,1995,SCD-1995
SCD,0,1996,SCD-1996
SCD,0,1997,SCD-1997
SCD,0,1998,SCD-1998
SCD,0,1999,SCD-1999
SCD,0,2000,SCD-2000
SCD,0,2001,SCD-2001
SCD,0,2002,SCD-2002
SCD,0,2003,SCD-2003
SCD,0,2004,SCD-2004
SCD,0,2005,SCD-2005
SCD,0,2006,SCD-2006
SCD,0,2007,SCD-2007
SCD,0,2008,SCD-2008
SCD,0,2009,SCD-2009
SCD,0,2010,SCD-2010
SCD,0,2011,SCD-2011
SCD,0,2012,SCD-2012
SCD,0,2013,SCD-2013
SCD,0,2014,SCD-2014
SCD,0,2015,SCD-2015
SCD,0,2016,SCD-2016
SCD,0,2017,SCD-2017
SCD,0,2018,SCD-2018
SCD,0,2019,SCD-2019
SCD,0,2020,SCD-2020
GB,1.43,1988,GB-1988
PS,6.02,1994,PS-1994
SAT,3.64,1994,SAT-1994
XB,0.99,2000,XB-2000
WS,0.68,2000,WS-2000
WS,0.28,2001,WS-2001
WS,0,2002,WS-2002
WS,0,2003,WS-2003
WS,0,2004,WS-2004
WS,0,2005,WS-2005
WS,0,2006,WS-2006
WS,0,2007,WS-2007
WS,0,2008,WS-2008
