日期,省份,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
1月31日,江苏,202,6,0,34,1,0,196,0.208588957
2月1日,江苏,236,7,0,34,1,0,229,0.173469388
2月2日,江苏,271,7,0,35,0,0,264,0.152838428
2月3日,江苏,308,8,0,37,1,0,300,0.140151515
2月4日,江苏,341,13,0,33,5,0,328,0.11
2月5日,江苏,373,26,0,32,13,0,347,0.097560976
2月6日,江苏,408,43,0,35,17,0,365,0.100864553
2月7日,江苏,439,43,0,31,0,0,396,0.084931507
2月8日,江苏,468,70,0,29,27,0,398,0.073232323
2月9日,江苏,492,80,0,24,10,0,412,0.060301508
2月10日,江苏,515,84,0,23,4,0,431,0.055825243
2月11日,江苏,543,94,0,28,10,0,449,0.064965197
2月12日,江苏,570,131,0,27,37,0,439,0.06013363
2月13日,江苏,593,137,0,23,6,0,456,0.0523918
2月14日,江苏,604,160,0,11,23,0,444,0.024122807
2月15日,江苏,617,190,0,13,30,0,427,0.029279279
1月21日,江西,2,0,0,0,0,0,2,0
1月22日,江西,3,0,0,1,0,0,3,0.5
1月23日,江西,7,0,0,4,0,0,7,1.333333333
1月24日,江西,18,0,0,11,0,0,18,1.571428571
1月25日,江西,36,0,0,18,0,0,36,1
1月26日,江西,48,0,0,12,0,0,48,0.333333333
1月27日,江西,72,3,0,24,3,0,69,0.5
1月28日,江西,109,3,0,37,0,0,106,0.536231884
1月29日,江西,162,3,0,53,0,0,159,0.5
1月30日,江西,240,6,0,78,3,0,234,0.490566038
1月31日,江西,286,8,0,46,2,0,278,0.196581197
2月1日,江西,333,9,0,47,1,0,324,0.169064748
2月2日,江西,391,18,0,58,9,0,373,0.179012346
2月3日,江西,476,19,0,85,1,0,457,0.227882038
2月4日,江西,548,27,0,72,8,0,521,0.157549234
2月5日,江西,600,37,0,52,10,0,563,0.099808061
2月6日,江西,661,45,0,61,8,0,616,0.108348135
2月7日,江西,698,55,0,37,10,0,643,0.060064935
2月8日,江西,740,72,0,42,17,0,668,0.065318818
2月9日,江西,771,102,1,31,30,1,668,0.046407186
2月10日,江西,804,127,1,33,25,0,676,0.049401198
2月11日,江西,844,152,1,40,25,0,691,0.059171598
2月12日,江西,872,170,1,28,18,0,701,0.040520984
2月13日,江西,900,187,1,28,17,0,712,0.039942939
2月14日,江西,913,210,1,13,23,0,702,0.018258427
2月15日,江西,925,239,1,12,29,0,685,0.017094017
1月21日,辽宁,2,0,0,0,0,0,2,0
1月22日,辽宁,3,0,0,1,0,0,3,0.5
1月23日,辽宁,4,0,0,1,0,0,4,0.333333333
1月24日,辽宁,16,0,0,12,0,0,16,3
1月25日,辽宁,19,0,0,3,0,0,19,0.1875
1月26日,辽宁,27,0,0,8,0,0,27,0.421052632
1月27日,辽宁,34,0,0,7,0,0,34,0.259259259
1月28日,辽宁,39,1,0,5,1,0,38,0.147058824
